,descripteur,disparition,envergure,espece,famille,genre,image,localisation,ordre,poids,taille,text,title,id,class_bird,french name
0,"Linnaeus, 1758",LC,  113 à 128 cm.,buteo,"
 ",Accipitridés,https://www.oiseaux.net/photos/denis.chavigny/images/buse.variable.dcha.3p.jpg,,Accipitriformes,  625 à 1364 g,  57 cm,"La Buse variable, comme son nom l'indique, a un plumage extrêmement variable. Cela peut aller d'un blanc presque pur à un brun sombre quasi uniforme, avec tous les intermédiaires possibles et imaginables. C'est très déroutant pour un ornithologue débutant. Mais heureusement, dans la majorité des cas, l'oiseau est d'un brun moyen avec des caractéristiques spécifiques que je vais décrire, mais il faut bien avoir en tête que les variantes sont nombreuses. Il est admis que les oiseaux du nord de l'aire sont plus pâles que ceux du sud.
La silhouette est massive, particulièrement chez la femelle, plus grande et plus robuste que le mâle. La pointe des ailes fermées atteint à peu près l'extrêmité de la queue. La tête est assez grosse, faisant paraître le cou engoncé dans les épaules.
Le plumage adulte se caractérise par une relative uniformité des parties supérieures. Les tectrices et les couvertures alaires sont brunes, sans bordure marquée et souvent avec un trait sombre le long du rachis. Les rémiges sont, pour ce qu'on en voit sur l'aile fermée, d'un brun plus sombre, presque noirâtre quelquefois. La tête présente souvent un sourcil pâle et une sorte de moustache brune oblique sous l'œil. En moyenne, les parties inférieures se présentent comme suit. La gorge est blanche, striée de brun, et le haut de la poitrine brun tacheté de blanc formant plastron. Sous le plastron, un bandeau pectoral blanc plus ou moins taché de brun est nettement perceptible. Le ventre est brun, plus sombre et moins taché que la poitrine, souvent plus clair en son centre. Les culottes sont brunes elles aussi, plutôt unies à l'extérieur et d'aspect barré vers l'intérieur. La teinte de fond de la queue est pâle, blanchâtre à beige clair, mais les rectrices sont nettement barrées de brun, ce qui la fait paraître assez sombre. D'habitude, elle est un peu plus pâle à la base qu'à son extrémité. Cela vient du fait que les barres des rectrices sont plus étroites à la base et que la queue se termine par une large barre brune. L'iris est brun-noisette. Le bec est noir avec la cire bien jaune portant les narines arrondies. Les pattes (pied et tarse) sont du même jaune que la cire.
Le plumage juvénile est plus clair et moins uniforme que celui de l'adulte. Les plumes de couverture sont ourlées de clair et donnent au dessus un aspect écailleux. L'iris est jaune pâle et la cire est d'un jaune moins vif.
Au vol, la silhouette de la Buse variable est assez typique. C'est l'aspect compact qui frappe. La tête est grosse et sans cou apparent. Les ailes sont moyennement longues, moins que chez d'autres buses, larges sur toute leur longueur et terminées par 5 doigts noirs bien visibles. La queue est assez courte, moins longue que la largeur de l'aile dans une proportion de 0,8 environ.
Le dessous de l'aile est contrasté. Les couvertures sous-alaires brunes contrastent fortement avec les rémiges très pâles, blanchâtres et comme lustrées, même chez les oiseaux sombres. Chez ces derniers, c'est la main la zone la plus pâle. Les rémiges et les rectrices sont barrées régulièrement de brun. Chez l'adulte, rémiges et rectrices sont largement terminées de brun, ce qui donne un bord de fuite sombre bien net aux ailes et à la queue et qui n'est pas le cas chez le jeune oiseau. Ce dernier apparaît aussi plus svelte, plus pâle, souvent avec une virgule sombre au poignet chez les sujets les plus clairs.
En vue de dessus, il faut noter l'uniformité du plumage, en particulier sans zone vraiment plus pâle au niveau de la main, ce qui la distingue d'autres buses. Les sus-caudales sont en général la partie la plus claire dessus.",Buse variable,209,209.Buse_variable,Buse variable
1,"Linnaeus, 1758",,  - ,erithacus,"
 ",Psittacidés,https://www.oiseaux.net/photos/john.gerrard.keulemans/images/perroquet.jaco.jgke.0p.jpg,,Psittaciformes,  400 à 490 g,  39 cm,"Chez le perroquet jaco, la peau nue faciale qui recouvre le pourtour de l'œil est blanchâtre. La tête écaillée de blanc sur un fond gris se poursuit jusqu'au gris foncé du dos et de la poitrine avec lesquels elle se confond. Les ailes sont gris moyen, les primaires gris noirâtre. Les rectrices et les couvertures sus-caudales sont rouge écarlate brillant. Le bec et les pattes varient du gris au brun noirâtre. Les iris sont jaunâtres. Les sexes sont identiques, mais les mâles acquièrent leur teinte grise définitive un peu après les femelles. Les oiseaux assez âgés peuvent acquérir un nombre plus ou moins variable de plumes écaillées. Des oiseaux albinos ont été parfois signalés.
La taille, notamment celle du bec, peut être variable selon les individus. Ce phénomène est indépendant de l'âge, de même que l'intensité du gris et l'apport de rouge qui peut se développer jusqu'au ventre, ce qui arrive souvent chez les immatures. 

Les immatures ont du rouge foncé sur l'extrémité des rectrices rouges. Ils ont des iris gris. 

Le perroquet gris peut être confondu avec le perroquet Timneh, espèce dont il est récemment issu. Psittacus erithacus erithacus, la race nominale du perroquet gris, a un plumage gris clair, une queue rouge-cerise et un bec noir. Psittacus timneh se distingue par un plumage gris plus foncé et une queue marron foncé bordée de brunâtre, la mandibule supérieure est rougeâtre avec une pointe noire. Le limite de séparation entre les 2 espèces se fait au niveau de la Côte d'Ivoire. 
Par contre, la race nominale du perroquet gris a des différences peu marquées avec sa sous-espèce qui réside sur l'île de Principe.",Perroquet jaco,235,235.Gris_du_gabon,Perroquet jaco
2,,,,,,,,,,,,Viréo à tête noire (Vireo atricapilla) est un oiseau qui appartient à la famille des Viréonidés.,Viréo à tête noire,151,151.Black_capped_Vireo,Viréo à tête noire
3,"Gmelin, JF, 1789",LC,  30 cm.,bonariensis,"
 ",Ictéridés,https://www.oiseaux.net/photos/denis.chavigny/images/vacher.luisant.dcha.0p.jpg,,Passériformes,  31 à 63 g,  22 cm,"Le Vacher luisant fait partie des ""Blackbirds"" américains, ainsi nommés car le plumage des mâles est majoritairement ou totalement noir. C'est un blackbird de taille moyenne, à peu près celle de l'Étourneau sansonnet, mais il est plus élancé que ce dernier. Le mâle apparaît entièrement noir. Cependant, sous un bon éclairage, son plumage présente des reflets bleu-violet-pourpre sur tout le corps et souvent vert-bronze sur les ailes et la queue. La femelle est d'un brun assez uniforme avec le dessous légèrement plus clair. Un léger sourcil pâle se remarque à la tête. Le juvénile ressemble à la femelle mais son plumage est moins uniforme, légèrement strié dessus et dessous et souvent avec une nuance jaunâtre. À tous âges, l'œil est brun sombre, les pattes et le bec gris-noirâtre. Le bec conique et pointu est plus fin que celui des autres espèces de vachers. Les 7 sous-espèces reconnues diffèrent par la taille, l'intensité des reflets du plumage des mâles et la tonalité du brun de celui des femelles. Certaines femelles peuvent être très sombres et ressembler de loin à des mâles. Suivant les régions, le Vacher luisant peut être confondu avec d'autres espèces de blackbirds. On le distinguera surtout au plumage très brillant du mâle et à son habitude de fréquenter assidument les troupeaux de bovins et de chevaux.",Vacher luisant,27,027.Shiny_Cowbird,Vacher luisant
4,,,,,,,https://www.oiseaux.net/photos/raphael.jordan/images/id/vacher.bronze.rajo.1p.152.h.jpg,,,,,Vacher bronzé (Molothrus aeneus) est un oiseau qui appartient à la famille des Ictéridés.,Vacher bronzé,26,026.Bronzed_Cowbird,Vacher bronzé
5,"Vieillot, 1819",,  38 à 41 cm.,melancholicus,"
 ",Tyrannidés,https://www.oiseaux.net/photos/denis.chavigny/images/tyran.melancolique.dcha.0p.jpg,https://www.oiseaux.net/maps/images/tyran.melancolique.1.200.w.png,Passériformes,  32 à 43 g,  24 cm,Tyran mélancolique (Tyrannus melancholicus) est un oiseau qui appartient à la famille des Tyrannidés.,Tyran mélancolique,77,077.Tropical_Kingbird,Tyran mélancolique
6,"Linnaeus, 1758",,  34 cm.,crinitus,"
 ",Tyrannidés,https://www.oiseaux.net/photos/denis.chavigny/images/tyran.huppe.dcha.0p.jpg,,Passériformes,  27 à 40 g,  21 cm,Tyran huppé (Myiarchus crinitus) est un oiseau qui appartient à la famille des Tyrannidés.,Tyran huppé,38,038.Great_Crested_Flycatcher,Tyran huppé
7,,,,,,,https://www.oiseaux.net/photos/ricketdi/images/tyran.a.longue.queue.fori.1p.152.h.jpg,,,,,Tyran à longue queue (Tyrannus forficatus) est un oiseau qui appartient à la famille des Tyrannidés.,Tyran à longue queue,41,041.Scissor_tailed_Flycatcher,Tyran à longue queue
8,"Vieillot, 1809",,  - ,aedon,"
 ",Troglodytidés,https://www.oiseaux.net/photos/denis.chavigny/images/troglodyte.familier.dcha.0p.jpg,https://www.oiseaux.net/maps/images/troglodyte.familier.1.200.w.png,Passériformes,  - ,  13 cm,"C'est probablement la seule espèce qui puisse être confondue avec le Troglodyte mignon, bien que ce dernier soit plus petit, possède une queue plus courte, une livrée plus sombre et des parties inférieures plus nettement barrées de brun 
Chez le troglodyte familier, le capuchon et la nuque sont brun moyen, couleur qui devient plus chaude et plus roussâtre sur le dos et le croupion. Des barres tranversales foncées ornent le dos et les couvertures alaires. Les primaires et les secondaires portent une série de marques brunes et chamois en alternance, ce qui donne une apparence de barre lorsque l'aile est fermée. Les rectrices brun roussâtre sont marquées par une douzaine de barres transversales sombres qui sont particulièrement bien visibles lorsque la queue n'est pas étalée. Les côtés de la tête présentent une teinte gris-brun et un vague sourcil chamois grisâtre. La gorge, le menton et la poitrine sont blanc chamoisé, virant au chamois-roux sur la partie basse du ventre et sur les flancs. Les couvertures sous-caudales sont blanc grisé. L'iris est brun. La mandibule supérieure brun mat contraste avec la mandibule inférieure corne clair. Les pattes sont brun sombre. 
Les juvéniles présentent une poitrine mouchetée. Les barres sur les flancs sont moins évidentes.",Troglodyte familier,196,196.House_Wren,Troglodyte familier
9,"Say, 1822",,  23 cm.,obsoletus,"
 ",Troglodytidés,https://www.oiseaux.net/photos/serge.nicolle/images/troglodyte.des.rochers.seni.0p.jpg,,Passériformes,  15 à 18 g,  16 cm,Troglodyte des rochers (Salpinctes obsoletus) est un oiseau qui appartient à la famille des Troglodytidés.,Troglodyte des rochers,198,198.Rock_Wren,Troglodyte des rochers
